"time","extractOutput1","raffinateOutput2","extractOutput2","raffinateOutput1"
0,0,0,0,0
4.8,0,0,0,0
9.6,0,0,0,0
14.4,0,0,0,0
19.2,0,0,0,0
24,0,0,0,0
28.8,0,0,0,0
33.6,0,0,0,0
38.4,0,2.06219e-56,0,1.77434e-42
43.2,0,2.0731e-54,0,1.64071e-40
48,0,1.03937e-52,0,7.55503e-39
52.8,0,3.46564e-51,0,2.3102e-37
57.6,0,8.64718e-50,0,5.27823e-36
62.4,0,1.72241e-48,0,9.61266e-35
67.2,0,2.85343e-47,0,1.45382e-33
72,0,4.04452e-46,0,1.87841e-32
76.8,0,5.00793e-45,0,2.11695e-31
81.6,0,5.50364e-44,0,2.11434e-30
86.4,0,5.43634e-43,0,1.8952e-29
91.2,0,4.87598e-42,0,1.54023e-28
96,0,4.0049e-41,0,1.14458e-27
100.8,0,3.03383e-40,0,7.83318e-27
105.6,0,2.1326e-39,0,4.96724e-26
110.4,0,1.39842e-38,0,2.9341e-25
115.2,0,8.59375e-38,0,1.62193e-24
120,0,4.96951e-37,0,8.42485e-24
124.8,0,2.71398e-36,0,4.12715e-23
129.6,0,1.40435e-35,0,1.91301e-22
134.4,0,6.90546e-35,0,8.41493e-22
139.2,0,3.23531e-34,0,3.5222e-21
144,0,1.44777e-33,0,1.40629e-20
148.8,0,6.2017e-33,0,5.36794e-20
153.6,1.79992e-135,2.54822e-32,8.63492e-175,1.96299e-19
158.4,4.99389e-133,1.00624e-31,2.59331e-172,6.89029e-19
163.2,6.91846e-131,3.82529e-31,3.89082e-170,2.32563e-18
168,6.38132e-129,1.40227e-30,3.88834e-168,7.56048e-18
172.8,4.40861e-127,4.9644e-30,2.91195e-166,2.37103e-17
177.6,2.43343e-125,1.69975e-29,1.74315e-164,7.18345e-17
182.4,1.11788e-123,5.6359e-29,8.68868e-163,2.10539e-16
187.2,4.3962e-122,1.81195e-28,3.70922e-161,5.97711e-16
192,1.51086e-120,5.65518e-28,1.38447e-159,1.64565e-15
196.8,4.60979e-119,1.71531e-27,4.58987e-158,4.39912e-15
201.6,1.26431e-117,5.06168e-27,1.36848e-156,1.14301e-14
206.4,3.14855e-116,1.45456e-26,3.70656e-155,2.88957e-14
211.2,7.17903e-115,4.07437e-26,9.19616e-154,7.11444e-14
216,1.50922e-113,1.11345e-25,2.10465e-152,1.70756e-13
220.8,2.94277e-112,2.9712e-25,4.46969e-151,3.99872e-13
225.6,5.34939e-111,7.74808e-25,8.85373e-150,9.14416e-13
230.4,9.10628e-110,1.97601e-24,1.64312e-148,2.04358e-12
235.2,1.45738e-108,4.93217e-24,2.86822e-147,4.46681e-12
240,2.20045e-107,1.20571e-23,4.72576e-146,9.55612e-12
244.8,3.1442e-106,2.88866e-23,7.37215e-145,2.00238e-11
249.6,4.26364e-105,6.78695e-23,1.09193e-143,4.11232e-11
254.4,5.50067e-104,1.56474e-22,1.53944e-142,8.28287e-11
259.2,6.76724e-103,3.54206e-22,2.07062e-141,1.63718e-10
264,7.95561e-102,7.87693e-22,2.6626e-140,3.17755e-10
268.8,8.95431e-101,1.72179e-21,3.27954e-139,6.05917e-10
273.6,9.66605e-100,3.70127e-21,3.876e-138,1.13579e-09
278.4,1.00237e-98,7.82858e-21,4.4027e-137,2.09399e-09
283.2,1.00005e-97,1.62999e-20,4.81362e-136,3.79895e-09
288,9.61245e-97,3.34235e-20,5.07277e-135,6.78537e-09
292.8,8.91306e-96,6.75273e-20,5.15942e-134,1.19374e-08
297.6,7.98225e-95,1.34477e-19,5.07066e-133,2.0695e-08
302.4,6.91227e-94,2.64082e-19,4.82088e-132,3.53695e-08
307.2,5.79394e-93,5.11585e-19,4.43859e-131,5.96189e-08
312,4.70563e-92,9.78027e-19,3.96146e-130,9.91524e-08
316.8,3.70647e-91,1.84585e-18,3.43053e-129,1.62763e-07
321.6,2.8339e-90,3.44038e-18,2.88502e-128,2.63819e-07
326.4,2.10501e-89,6.33475e-18,2.3582e-127,4.22384e-07
331.2,1.52025e-88,1.15267e-17,1.87498e-126,6.6821e-07
336,1.06829e-87,2.07336e-17,1.4512e-125,1.04489e-06
340.8,7.30958e-87,3.68777e-17,1.09415e-124,1.61554e-06
345.6,4.87319e-86,6.48793e-17,8.04156e-124,2.47054e-06
350.4,3.16763e-85,1.12933e-16,5.76498e-123,3.73787e-06
355.2,2.00874e-84,1.9455e-16,4.03381e-122,5.59686e-06
360,1.24347e-83,3.31779e-16,2.75643e-121,8.29608e-06
364.8,7.51815e-83,5.60258e-16,1.8405e-120,1.21767e-05
369.6,4.44209e-82,9.37031e-16,1.20147e-119,1.77022e-05
374.4,2.56618e-81,1.55257e-15,7.67189e-119,2.54965e-05
379.2,1.45019e-80,2.54908e-15,4.79421e-118,3.6391e-05
384,8.02054e-80,4.14807e-15,2.93333e-117,5.14841e-05
388.8,4.34334e-79,6.69166e-15,1.75805e-116,7.22134e-05
393.6,2.30395e-78,1.07038e-14,1.03256e-115,0.000100444
398.4,1.19767e-77,1.69804e-14,5.94561e-115,0.000138577
403.2,6.10364e-77,2.67208e-14,3.35775e-114,0.000189673
408,3.0507e-76,4.17182e-14,1.86055e-113,0.000257608
412.8,1.49601e-75,6.46335e-14,1.01189e-112,0.000347244
417.6,7.20024e-75,9.93856e-14,5.40365e-112,0.000464641
422.4,3.40247e-74,1.51705e-13,2.83433e-111,0.000617287
427.2,1.57914e-73,2.2991e-13,1.46073e-110,0.000814371
432,7.20066e-73,3.45996e-13,7.39927e-110,0.00106708
436.8,3.2269e-72,5.1714e-13,3.68504e-109,0.00138896
441.6,1.42165e-71,7.67781e-13,1.80494e-108,0.00179625
446.4,6.15924e-71,1.13246e-12,8.69719e-108,0.00230833
451.2,2.62489e-70,1.6597e-12,4.12397e-107,0.00294816
456,1.1007e-69,2.41722e-12,1.92484e-106,0.00374276
460.8,4.54274e-69,3.49901e-12,8.84565e-106,0.00472372
465.6,1.84576e-68,5.0347e-12,4.00348e-105,0.00592773
470.4,7.38498e-68,7.20209e-12,1.78495e-104,0.00739715
475.2,2.91039e-67,1.02436e-11,7.84163e-104,0.00918058
480,1.13002e-66,1.44882e-11,3.39531e-103,0.0113334
484.8,4.32373e-66,2.03794e-11,1.44926e-102,0.0139186
489.6,1.63067e-65,2.85126e-11,6.09971e-102,0.0170068
494.4,6.06329e-65,3.96822e-11,2.53198e-101,0.0206774
499.2,2.22321e-64,5.4944e-11,1.0368e-100,0.0250187
504,8.04031e-64,7.56927e-11,4.18895e-100,0.0301286
508.8,2.86866e-63,1.03763e-10,1.67024e-99,0.036115
513.6,1.00992e-62,1.41557e-10,6.57358e-99,0.0430957
518.4,3.50896e-62,1.92205e-10,2.55423e-98,0.0511995
523.2,1.20349e-61,2.59764e-10,9.80021e-98,0.0605656
528,4.0753e-61,3.49478e-10,3.71371e-97,0.071344
532.8,1.36273e-60,4.68084e-10,1.39013e-96,0.0836954
537.6,4.50062e-60,6.2421e-10,5.14113e-96,0.097791
542.4,1.46833e-59,8.28855e-10,1.87883e-95,0.113812
547.2,4.733e-59,1.09598e-09,6.78606e-95,0.131951
552,1.5076e-58,1.44325e-09,2.42282e-94,0.152406
556.8,4.74619e-58,1.89289e-09,8.55196e-94,0.175388
561.6,1.47701e-57,2.47282e-09,2.98485e-93,0.201112
566.4,4.54429e-57,3.2179e-09,1.03028e-92,0.229801
571.2,1.3825e-56,4.17158e-09,3.51751e-92,0.261684
576,4.15953e-56,5.38774e-09,1.18801e-91,0.296993
580.8,1.23785e-55,6.93299e-09,3.96988e-91,0.335962
585.6,3.64419e-55,8.88943e-09,1.3127e-90,0.378827
590.4,1.06146e-54,1.13578e-08,4.29583e-90,0.425824
595.2,3.05942e-54,1.44615e-08,1.39149e-89,0.477186
600,8.72697e-54,1.83507e-08,4.46192e-89,0.533141
604.8,2.46399e-53,2.32085e-08,1.41654e-88,0.593914
609.6,6.88684e-53,2.92562e-08,4.45308e-88,0.65972
614.4,1.90574e-52,3.67614e-08,1.38633e-87,0.730764
619.2,5.22189e-52,4.60464e-08,4.27467e-87,0.807242
624,1.41698e-51,5.7498e-08,1.30563e-86,0.889334
628.8,3.80825e-51,7.15794e-08,3.95069e-86,0.977208
633.6,1.01383e-50,8.88432e-08,1.18443e-85,1.07101
638.4,2.67384e-50,1.09947e-07,3.51868e-85,1.17088
643.2,6.98692e-50,1.35673e-07,1.03593e-84,1.27692
648,1.80911e-49,1.66943e-07,3.02284e-84,1.38923
652.8,4.64221e-49,2.0485e-07,8.74332e-84,1.50787
657.6,1.18062e-48,2.50676e-07,2.50704e-83,1.63289
662.4,2.97625e-48,3.05931e-07,7.12712e-83,1.76432
667.2,7.43785e-48,3.72378e-07,2.009e-82,1.90214
672,1.84286e-47,4.52082e-07,5.6157e-82,2.04634
676.8,4.52738e-47,5.47446e-07,1.55678e-81,2.19685
